"来源系统","归类","文件","大小KB","最近修改时间","吸收建议"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\01_系统文档与方案\00杰哥系统总管\01快照\AI记忆移植包.txt","12.28","2026/4/26 10:26:55","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\01_系统文档与方案\00杰哥系统总管\01快照\AI记忆移植包_v6.8.10.txt","5.54","2026/4/21 5:09:42","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\01_系统文档与方案\00杰哥系统总管\01快照\AI记忆移植包_v6.8.11.txt","7.61","2026/4/21 23:14:26","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\01_系统文档与方案\00杰哥系统总管\01快照\AI记忆移植包_v6.8.7_20260420.md","4.9","2026/4/20 8:48:37","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\01_系统文档与方案\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\感知模块.py","5.08","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\01_系统文档与方案\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\股票监控.py","5.2","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\01_系统文档与方案\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\记忆模块.py","5.86","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\01_系统文档与方案\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\决策模块.py","4.83","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\01_系统文档与方案\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\每日简报.py","3.22","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\01_系统文档与方案\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\命令服务器.py","3.07","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
