代码,展示代码,名称,行业,市场,市值,中证全指权重,最新成交额,纳入日期
sz300750,300750.SZ,宁德时代,电力设备,深交所,2134582790670.0,1.98,16224287222.0,2026-05-09
sz300308,300308.SZ,中际旭创,通信,深交所,1763725982594.0,1.636,17406542425.0,2026-05-09
sh600519,600519.SH,贵州茅台,食品饮料,上交所,1605249381468.5,1.489,4582855939.0,2026-05-09
sh601318,601318.SH,中国平安,非银金融,上交所,1171864390635.5,1.087,4392260153.0,2026-05-09
sh601899,601899.SH,紫金矿业,有色金属,上交所,1015543933743.0,0.942,10371098900.0,2026-05-09
sz300502,300502.SZ,新易盛,通信,深交所,967030688500.5,0.897,16488159417.0,2026-05-09
sh600036,600036.SH,招商银行,银行,上交所,876472630714.5,0.813,3303687174.0,2026-05-09
sz000333,000333.SZ,美的集团,家用电器,深交所,739557471919.0,0.686,2273797150.0,2026-05-09
sh688256,688256.SH,寒武纪,电子,上交所,664092423764.0,0.616,22579188932.0,2026-05-09
sz002475,002475.SZ,立讯精密,电子,深交所,631750260269.0,0.586,15166942308.0,2026-05-09
sh600900,600900.SH,长江电力,公用事业,上交所,618813394871.0,0.574,2173718079.0,2026-05-09
sh601166,601166.SH,兴业银行,银行,上交所,561675572696.5,0.521,1508738481.0,2026-05-09
sz002594,002594.SZ,比亚迪,汽车,深交所,517474615920.0,0.48,3823821998.0,2026-05-09
sh688041,688041.SH,海光信息,电子,上交所,509928111104.5,0.473,16242863702.0,2026-05-09
sh603259,603259.SH,药明康德,医药生物,上交所,501303534172.5,0.465,4896194844.0,2026-05-09
sh600030,600030.SH,中信证券,非银金融,上交所,491600885124.0,0.456,3507949844.0,2026-05-09
sz300059,300059.SZ,东方财富,非银金融,深交所,476507875493.0,0.442,4763551398.0,2026-05-09
sh601138,601138.SH,工业富联,电子,上交所,462492937978.5,0.429,10254090368.0,2026-05-09
sh601398,601398.SH,工商银行,银行,上交所,446321856231.0,0.414,1815302005.0,2026-05-09
sh600276,600276.SH,恒瑞医药,医药生物,上交所,445243784114.5,0.413,4253912511.0,2026-05-09
sz002384,002384.SZ,东山精密,电子,深交所,443087639881.5,0.411,18776822516.0,2026-05-09
sh688981,688981.SH,中芯国际,电子,上交所,439853423532.0,0.408,8595731864.0,2026-05-09
sz002371,002371.SZ,北方华创,电子,深交所,430150774483.5,0.399,4475463104.0,2026-05-09
sh603986,603986.SH,兆易创新,电子,上交所,387027889823.5,0.359,14821436654.0,2026-05-09
sz300476,300476.SZ,胜宏科技,电子,深交所,370856808076.0,0.344,20050788655.0,2026-05-09
sz300274,300274.SZ,阳光电源,电力设备,深交所,368700663843.0,0.342,8680103373.0,2026-05-09
sh601288,601288.SH,农业银行,银行,上交所,367622591726.5,0.341,1910985188.0,2026-05-09
sh688008,688008.SH,澜起科技,电子,上交所,367622591726.5,0.341,13002789032.0,2026-05-09
sh600150,600150.SH,中国船舶,国防军工,上交所,349295365746.0,0.324,5485577000.0,2026-05-09
sz000858,000858.SZ,五 粮 液,食品饮料,深交所,349295365746.0,0.324,2396026818.0,2026-05-09
sh601211,601211.SH,国泰海通,非银金融,上交所,337436572464.5,0.313,1677130320.0,2026-05-09
sh601328,601328.SH,交通银行,银行,上交所,336358500348.0,0.312,771500776.0,2026-05-09
sz000651,000651.SZ,格力电器,家用电器,深交所,332046211882.0,0.308,1550905021.0,2026-05-09
sh600887,600887.SH,伊利股份,食品饮料,上交所,321265490717.0,0.298,1570843720.0,2026-05-09
sh601088,601088.SH,中国神华,煤炭,上交所,316953202251.0,0.294,1295063112.0,2026-05-09
sz000338,000338.SZ,潍柴动力,汽车,深交所,312640913785.0,0.29,4838192087.0,2026-05-09
sh600309,600309.SH,万华化学,基础化工,上交所,311562841668.5,0.289,2734113727.0,2026-05-09
sh600919,600919.SH,江苏银行,银行,上交所,307250553202.5,0.285,827227851.0,2026-05-09
sh688012,688012.SH,中微公司,电子,上交所,305094408969.5,0.283,6554934291.0,2026-05-09
sh603993,603993.SH,洛阳钼业,有色金属,上交所,300782120503.5,0.279,5887631949.0,2026-05-09
sz000725,000725.SZ,京东方A,电子,深交所,277064533940.5,0.257,2646109505.0,2026-05-09
sh601816,601816.SH,京沪高铁,交通运输,上交所,266283812775.5,0.247,446838864.0,2026-05-09
sz300394,300394.SZ,天孚通信,通信,深交所,265205740659.0,0.246,11690928154.0,2026-05-09
sh601857,601857.SH,中国石油,石油石化,上交所,256581163727.0,0.238,2002943659.0,2026-05-09
sz002463,002463.SZ,沪电股份,电子,深交所,255503091610.5,0.237,6079210419.0,2026-05-09
sh603019,603019.SH,中科曙光,计算机,上交所,252268875261.0,0.234,6548716403.0,2026-05-09
sh600089,600089.SH,特变电工,电力设备,上交所,251190803144.5,0.233,4598151827.0,2026-05-09
sh600111,600111.SH,北方稀土,有色金属,上交所,247956586795.0,0.23,7708741272.0,2026-05-09
sz002415,002415.SZ,海康威视,计算机,深交所,245800442562.0,0.228,2043398379.0,2026-05-09
sz300124,300124.SZ,汇川技术,机械设备,深交所,240410081979.5,0.223,3836723948.0,2026-05-09
sh600487,600487.SH,亨通光电,通信,上交所,240410081979.5,0.223,12666073983.0,2026-05-09
sh601601,601601.SH,中国太保,非银金融,上交所,236097793513.5,0.219,1523402305.0,2026-05-09
sz000792,000792.SZ,盐湖股份,基础化工,深交所,230707432931.0,0.214,5131618432.0,2026-05-09
sh600000,600000.SH,浦发银行,银行,上交所,228551288698.0,0.212,811024242.0,2026-05-09
sz002714,002714.SZ,牧原股份,农林牧渔,深交所,226395144465.0,0.21,1388550834.0,2026-05-09
sz002028,002028.SZ,思源电气,电力设备,深交所,225317072348.5,0.209,2346694959.0,2026-05-09
sh600031,600031.SH,三一重工,机械设备,上交所,223160928115.5,0.207,2196428057.0,2026-05-09
sz000988,000988.SZ,华工科技,机械设备,深交所,222082855999.0,0.206,14026678243.0,2026-05-09
sz000063,000063.SZ,中兴通讯,通信,深交所,218848639649.5,0.203,5295615756.0,2026-05-09
