代码,展示代码,名称,行业,中信细分行业,市场,板块,最新成交额,中证全指权重,概念数量,来源
sz300750,300750.SZ,宁德时代,电气设备,锂电池,深交所,,16224287222.0,1.98,11,2000只样本池基础保留
sz300308,300308.SZ,中际旭创,通信设备,网络接配及塔设,深交所,,17406542425.0,1.636,11,2000只样本池基础保留
sh600519,600519.SH,贵州茅台,白酒,白酒,上交所,,4582855939.0,1.489,2,2000只样本池基础保留
sh601318,601318.SH,中国平安,保险,保险,上交所,,4392260153.0,1.087,4,2000只样本池基础保留
sh601899,601899.SH,紫金矿业,铜,铜,上交所,,10371098900.0,0.942,8,2000只样本池基础保留
sz300502,300502.SZ,新易盛,通信设备,网络接配及塔设,深交所,,16488159417.0,0.897,6,2000只样本池基础保留
sh600036,600036.SH,招商银行,银行,股份制银行,上交所,,3303687174.0,0.813,4,2000只样本池基础保留
sz000333,000333.SZ,美的集团,家用电器,空调,深交所,,2273797150.0,0.686,16,2000只样本池基础保留
sh688256,688256.SH,寒武纪,半导体,集成电路设计,上交所,,22579188932.0,0.616,12,2000只样本池基础保留
sz002475,002475.SZ,立讯精密,元器件,消费电子组件,深交所,,15166942308.0,0.586,23,2000只样本池基础保留
sh600900,600900.SH,长江电力,水力发电,水力发电,上交所,,2173718079.0,0.574,8,2000只样本池基础保留
sh601166,601166.SH,兴业银行,银行,股份制银行,上交所,,1508738481.0,0.521,2,2000只样本池基础保留
sz002594,002594.SZ,比亚迪,汽车整车,电动乘用车,深交所,,3823821998.0,0.48,20,2000只样本池基础保留
sh688041,688041.SH,海光信息,半导体,集成电路设计,上交所,,16242863702.0,0.473,10,2000只样本池基础保留
sh603259,603259.SH,药明康德,化学制药,医疗研发外包,上交所,,4896194844.0,0.465,5,2000只样本池基础保留
sh600030,600030.SH,中信证券,证券,证券,上交所,,3507949844.0,0.456,3,2000只样本池基础保留
sz300059,300059.SZ,东方财富,证券,证券,深交所,,4763551398.0,0.442,7,2000只样本池基础保留
sh601138,601138.SH,工业富联,通信设备,消费电子组件,上交所,,10254090368.0,0.429,21,2000只样本池基础保留
sh601398,601398.SH,工商银行,银行,国有大型银行,上交所,,1815302005.0,0.414,3,2000只样本池基础保留
sh600276,600276.SH,恒瑞医药,化学制药,化学制剂,上交所,,4253912511.0,0.413,11,2000只样本池基础保留
sz002384,002384.SZ,东山精密,元器件,PCB,深交所,,18776822516.0,0.411,19,2000只样本池基础保留
sh688981,688981.SH,中芯国际,半导体,半导体制造,上交所,,8595731864.0,0.408,8,2000只样本池基础保留
sz002371,002371.SZ,北方华创,半导体,半导体设备,深交所,,4475463104.0,0.399,7,2000只样本池基础保留
sh603986,603986.SH,兆易创新,半导体,集成电路设计,上交所,,14821436654.0,0.359,13,2000只样本池基础保留
sz300476,300476.SZ,胜宏科技,元器件,PCB,深交所,,20050788655.0,0.344,25,2000只样本池基础保留
sz300274,300274.SZ,阳光电源,电气设备,光伏逆变器,深交所,,8680103373.0,0.342,11,2000只样本池基础保留
sh601288,601288.SH,农业银行,银行,国有大型银行,上交所,,1910985188.0,0.341,4,2000只样本池基础保留
sh688008,688008.SH,澜起科技,半导体,集成电路设计,上交所,,13002789032.0,0.341,7,2000只样本池基础保留
sh600150,600150.SH,中国船舶,船舶,航海装备,上交所,,5485577000.0,0.324,10,2000只样本池基础保留
