序号,代码,展示代码,名称,市场,板块,行业,是否启用,是否ST,是否退市风险,最新价,涨跌幅,涨跌额,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,市盈率,量比,成交量单位,成交额单位,数据源,数据新鲜度,行情时间,本池生成时间
1,sz000001,000001.SZ,平安银行,深交所,主板,未分类,True,False,False,11.24,-0.355,-0.04,663698.42,747861853.0,11.36,11.22,11.28,11.28,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:11:33,2026-05-12 13:11:46
2,sz000002,000002.SZ,万  科Ａ,深交所,主板,未分类,True,False,False,4.08,-0.244,-0.01,1228303.02,502694393.0,4.16,4.02,4.07,4.09,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:11:33,2026-05-12 13:11:46
3,sz000004,000004.SZ,*ST国华,深交所,主板,未分类,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:10:45,2026-05-12 13:11:46
4,sz000006,000006.SZ,深振业Ａ,深交所,主板,未分类,True,False,False,10.45,10.0,0.95,785499.38,801336907.0,10.45,9.48,9.6,9.5,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:11:33,2026-05-12 13:11:46
5,sz000007,000007.SZ,全新好,深交所,主板,未分类,True,False,False,15.42,-6.545,-1.08,149190.83,237740501.0,16.65,15.34,16.45,16.5,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:11:33,2026-05-12 13:11:46
6,sz000008,000008.SZ,神州高铁,深交所,主板,未分类,True,False,False,2.76,-1.429,-0.04,354581.32,98795801.0,2.82,2.75,2.79,2.8,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:11:33,2026-05-12 13:11:46
7,sz000009,000009.SZ,中国宝安,深交所,主板,未分类,True,False,False,8.39,-2.214,-0.19,210673.95,178263049.0,8.58,8.38,8.58,8.58,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:11:33,2026-05-12 13:11:46
8,sz000010,000010.SZ,*ST美丽,深交所,主板,未分类,True,True,False,2.61,0.385,0.01,710558.94,179665497.0,2.66,2.47,2.55,2.6,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:11:33,2026-05-12 13:11:46
9,sz000011,000011.SZ,深物业A,深交所,主板,未分类,True,False,False,8.3,2.596,0.21,129263.59,108297934.0,8.65,8.03,8.08,8.09,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:11:33,2026-05-12 13:11:46
10,sz000012,000012.SZ,南  玻Ａ,深交所,主板,未分类,True,False,False,3.9,-2.985,-0.12,313830.38,123952823.0,4.04,3.89,4.02,4.02,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:11:33,2026-05-12 13:11:46
