序号,代码,展示代码,名称,市场,行业,入池类型,入池批次,来源,来源行号,是否启用,更新频率,最新价,涨跌幅,涨跌额,成交量,成交额,最高,最低,今开,昨收,市盈率,量比,换手率,快照生成时间,本池生成时间
1,sz000906,000906.SZ,浙商中拓,深交所,物流,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,1,True,每个交易日盘后；必须早于收盘短线观察报告生成,6.78,1.04,0.07,172239,116570600.69,6.87,6.61,6.66,6.71,6.43,0.96,2.46,2026-05-11 13:28:35,2026-05-12 07:11:40
2,sz300641,300641.SZ,正丹股份,深交所,化学制品,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,2,True,每个交易日盘后；必须早于收盘短线观察报告生成,17.53,-1.52,-0.27,97887,173155750.0,17.99,17.52,17.8,17.8,34.29,1.75,1.86,2026-05-11 13:28:35,2026-05-12 07:11:40
3,sz300502,300502.SZ,新易盛,深交所,通信设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,3,True,每个交易日盘后；必须早于收盘短线观察报告生成,564.4,2.31,12.73,458214,24866373995.71,565.0,525.25,554.0,551.67,50.45,2.02,5.18,2026-05-11 13:28:35,2026-05-12 07:11:40
4,sz000657,000657.SZ,中钨高新,深交所,小金属,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,4,True,每个交易日盘后；必须早于收盘短线观察报告生成,60.15,-0.53,-0.32,744323,4492603856.3,61.76,59.12,60.0,60.47,37.2,1.06,5.12,2026-05-11 13:28:35,2026-05-12 07:11:40
5,sz300871,300871.SZ,回盛生物,深交所,动物保健Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,5,True,每个交易日盘后；必须早于收盘短线观察报告生成,25.85,0.54,0.14,46820,119691943.71,25.96,25.28,25.72,25.71,16.79,0.91,2.32,2026-05-11 13:28:35,2026-05-12 07:11:40
6,sh603259,603259.SH,药明康德,上交所,医疗服务,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,6,True,每个交易日盘后；必须早于收盘短线观察报告生成,108.21,1.32,1.41,367673,3917413045.0,108.41,105.5,106.65,106.8,17.35,0.95,1.49,2026-05-11 13:28:35,2026-05-12 07:11:40
7,sh600326,600326.SH,西藏天路,上交所,水泥,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,7,True,每个交易日盘后；必须早于收盘短线观察报告生成,9.63,0.52,0.05,223278,216420379.0,9.79,9.57,9.57,9.58,-88.29,1.26,1.64,2026-05-11 13:28:35,2026-05-12 07:11:40
8,sh603501,603501.SH,豪威集团,上交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,8,True,每个交易日盘后；必须早于收盘短线观察报告生成,100.86,1.69,1.68,256162,2585218131.0,102.08,99.86,100.08,99.18,63.23,1.15,2.12,2026-05-11 13:28:35,2026-05-12 07:11:40
9,sz002812,002812.SZ,恩捷股份,深交所,电池,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,9,True,每个交易日盘后；必须早于收盘短线观察报告生成,81.0,-0.33,-0.27,291789,2375199116.48,82.66,79.78,80.3,81.27,76.4,0.9,3.55,2026-05-11 13:28:35,2026-05-12 07:11:40
10,sz002049,002049.SZ,紫光国微,深交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,10,True,每个交易日盘后；必须早于收盘短线观察报告生成,81.18,4.94,3.82,484222,3911791102.52,82.76,78.75,78.75,77.36,51.58,2.11,5.7,2026-05-11 13:28:35,2026-05-12 07:11:40
