序号,代码,展示代码,名称,市场,板块,行业,是否启用,是否ST,是否退市风险,最新价,涨跌幅,涨跌额,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,市盈率,量比,成交量单位,成交额单位,数据源,数据新鲜度,行情时间,本池生成时间
1,sz000001,000001.SZ,平安银行,深交所,主板,未分类,True,False,False,11.23,-0.443,-0.05,708183.42,797820940.0,11.36,11.22,11.28,11.28,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:09,2026-05-12 13:19:25
2,sz000002,000002.SZ,万  科Ａ,深交所,主板,未分类,True,False,False,4.07,-0.489,-0.02,1267104.02,518480733.0,4.16,4.02,4.07,4.09,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:09,2026-05-12 13:19:25
3,sz000004,000004.SZ,*ST国华,深交所,主板,未分类,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:18:45,2026-05-12 13:19:25
4,sz000006,000006.SZ,深振业Ａ,深交所,主板,未分类,True,False,False,10.45,10.0,0.95,791989.38,808118957.0,10.45,9.48,9.6,9.5,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:09,2026-05-12 13:19:25
5,sz000007,000007.SZ,全新好,深交所,主板,未分类,True,False,False,15.29,-7.333,-1.21,159935.83,254242848.0,16.65,15.28,16.45,16.5,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:09,2026-05-12 13:19:25
6,sz000008,000008.SZ,神州高铁,深交所,主板,未分类,True,False,False,2.76,-1.429,-0.04,361831.32,100791675.0,2.82,2.75,2.79,2.8,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:09,2026-05-12 13:19:25
7,sz000009,000009.SZ,中国宝安,深交所,主板,未分类,True,False,False,8.38,-2.331,-0.2,223614.95,189108755.0,8.58,8.37,8.58,8.58,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:09,2026-05-12 13:19:25
8,sz000010,000010.SZ,*ST美丽,深交所,主板,未分类,True,True,False,2.6,0.0,0.0,721342.94,182476449.0,2.66,2.47,2.55,2.6,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:09,2026-05-12 13:19:25
9,sz000011,000011.SZ,深物业A,深交所,主板,未分类,True,False,False,8.32,2.843,0.23,130191.59,109068686.0,8.65,8.03,8.08,8.09,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
10,sz000012,000012.SZ,南  玻Ａ,深交所,主板,未分类,True,False,False,3.9,-2.985,-0.12,321547.38,126964177.0,4.04,3.89,4.02,4.02,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:09,2026-05-12 13:19:25
11,sz000014,000014.SZ,沙河股份,深交所,主板,未分类,True,False,False,12.93,-0.154,-0.02,104351.6,136485392.0,13.32,12.77,12.96,12.95,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:09,2026-05-12 13:19:25
12,sz000016,000016.SZ,*ST康佳A,深交所,主板,未分类,True,True,False,3.21,2.885,0.09,468045.22,150723636.0,3.28,3.15,3.15,3.12,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:09,2026-05-12 13:19:25
13,sz000017,000017.SZ,深中华A,深交所,主板,未分类,True,False,False,6.19,-2.673,-0.17,68692.6,43051132.0,6.4,6.17,6.35,6.36,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
14,sz000019,000019.SZ,深粮控股,深交所,主板,未分类,True,False,False,7.22,-3.476,-0.26,158401.42,115373836.0,7.47,7.2,7.47,7.48,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
15,sz000020,000020.SZ,深华发Ａ,深交所,主板,未分类,True,False,False,14.17,-2.208,-0.32,60729.0,86749991.0,14.49,14.08,14.49,14.49,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:09,2026-05-12 13:19:25
16,sz000021,000021.SZ,深科技,深交所,主板,未分类,True,False,False,32.21,-2.305,-0.76,806753.67,2596118236.0,32.74,31.85,32.74,32.97,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:09,2026-05-12 13:19:25
17,sz000025,000025.SZ,特  力Ａ,深交所,主板,未分类,True,False,False,16.1,-1.106,-0.18,24865.0,40322771.0,16.39,16.09,16.28,16.28,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
18,sz000026,000026.SZ,飞亚达,深交所,主板,未分类,True,False,False,20.35,1.043,0.21,149835.01,305898016.0,21.08,19.8,20.2,20.14,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
19,sz000027,000027.SZ,深圳能源,深交所,主板,未分类,True,False,False,7.32,1.808,0.13,494185.45,361185218.0,7.39,7.16,7.2,7.19,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
20,sz000028,000028.SZ,国药一致,深交所,主板,未分类,True,False,False,24.61,-0.606,-0.15,21693.0,53461554.0,24.75,24.59,24.75,24.76,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
21,sz000029,000029.SZ,深深房Ａ,深交所,主板,未分类,True,False,False,26.49,10.008,2.41,221714.34,573814217.0,26.49,24.1,24.49,24.08,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:03,2026-05-12 13:19:25
22,sz000030,000030.SZ,富奥股份,深交所,主板,未分类,True,False,False,4.98,-1.775,-0.09,143802.0,71911735.0,5.07,4.96,5.06,5.07,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
23,sz000031,000031.SZ,大悦城,深交所,主板,未分类,True,False,False,3.09,-0.962,-0.03,222929.36,68594736.0,3.12,3.03,3.11,3.12,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
24,sz000032,000032.SZ,深桑达Ａ,深交所,主板,未分类,True,False,False,18.75,-1.626,-0.31,158352.14,300204158.0,19.26,18.7,19.0,19.06,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
25,sz000034,000034.SZ,神州数码,深交所,主板,未分类,True,False,False,41.93,-1.619,-0.69,295777.63,1235041821.0,42.69,41.05,42.2,42.62,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
26,sz000035,000035.SZ,中国天楹,深交所,主板,未分类,True,False,False,6.47,-1.07,-0.07,432369.27,278147767.0,6.54,6.37,6.51,6.54,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
27,sz000036,000036.SZ,华联控股,深交所,主板,未分类,True,False,False,6.1,-3.633,-0.23,508493.12,313334371.0,6.37,6.07,6.36,6.33,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
28,sz000037,000037.SZ,深南电A,深交所,主板,未分类,True,False,False,11.42,2.147,0.24,299602.0,338612534.0,11.5,10.9,11.13,11.18,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
29,sz000039,000039.SZ,中集集团,深交所,主板,未分类,True,False,False,12.87,-2.5,-0.33,245968.1,318923146.0,13.32,12.81,13.2,13.2,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
30,sz000042,000042.SZ,中洲控股,深交所,主板,未分类,True,False,False,10.27,2.597,0.26,66542.0,67684979.0,10.32,9.93,10.0,10.01,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
31,sz000045,000045.SZ,深纺织Ａ,深交所,主板,未分类,True,False,False,12.29,0.163,0.02,76521.01,94683530.0,12.54,12.13,12.23,12.27,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
32,sz000048,000048.SZ,京基智农,深交所,主板,未分类,True,False,False,14.86,-1.979,-0.3,66682.35,99400167.0,15.11,14.77,15.1,15.16,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
33,sz000049,000049.SZ,德赛电池,深交所,主板,未分类,True,False,False,27.81,-2.966,-0.85,108766.63,304828937.0,28.79,27.67,28.79,28.66,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
34,sz000050,000050.SZ,深天马Ａ,深交所,主板,未分类,True,False,False,7.67,-2.043,-0.16,179154.25,138319848.0,7.84,7.63,7.83,7.83,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
35,sz000055,000055.SZ,方大集团,深交所,主板,未分类,True,False,False,3.69,-2.381,-0.09,59203.5,22110179.0,3.78,3.68,3.76,3.78,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
36,sz000056,000056.SZ,*ST皇庭,深交所,主板,未分类,True,True,False,1.7,0.0,0.0,376203.0,64310866.0,1.74,1.67,1.74,1.7,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:00,2026-05-12 13:19:25
37,sz000058,000058.SZ,深 赛 格,深交所,主板,未分类,True,False,False,8.29,-1.893,-0.16,129386.0,107754188.0,8.45,8.2,8.43,8.45,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
38,sz000059,000059.SZ,华锦股份,深交所,主板,未分类,True,False,False,5.07,-1.934,-0.1,318131.0,163690865.0,5.23,5.07,5.17,5.17,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
39,sz000060,000060.SZ,中金岭南,深交所,主板,未分类,True,False,False,7.69,-9.529,-0.81,4999826.54,3918773357.0,8.28,7.65,8.2,8.5,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
40,sz000061,000061.SZ,农 产 品,深交所,主板,未分类,True,False,False,7.21,-2.304,-0.17,137042.02,99997670.0,7.4,7.2,7.38,7.38,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
41,sz000062,000062.SZ,深圳华强,深交所,主板,未分类,True,False,False,37.14,-4.988,-1.95,881184.82,3345449254.0,39.5,37.0,39.5,39.09,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
42,sz000063,000063.SZ,中兴通讯,深交所,主板,未分类,True,False,False,38.18,-2.378,-0.93,851435.08,3280247365.0,39.0,38.04,38.9,39.11,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
43,sz000065,000065.SZ,北方国际,深交所,主板,未分类,True,False,False,13.02,-1.81,-0.24,178686.72,232664851.0,13.2,12.91,13.2,13.26,,,,,,手,元,AKShare公开A股基础列表+公开实时行情,生成时点公开行情,13:19:06,2026-05-12 13:19:25
