全局排序,建议执行批次,任务ID,代码,名称,任务类型,入口名称,来源级别,URL,当前状态,拟填写状态,核验人,核验时间,材料标题,材料发布日期,是否发现新增重大风险,是否支持进入精选推送草案,备注
1,第一批：优先核验,sh688041-01,sh688041,海光信息,公告正文核验,巨潮资讯股票公告入口,官方/交易所指定信息披露入口,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=688041,待人工核验,,,,,,,,
2,第一批：优先核验,sz002281-01,sz002281,光迅科技,公告正文核验,巨潮资讯股票公告入口,官方/交易所指定信息披露入口,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=002281,待人工核验,,,,,,,,
3,第一批：优先核验,sh688041-03,sh688041,海光信息,财务报告核验,巨潮资讯定期报告入口,官方/交易所指定信息披露入口,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=688041,待人工核验,,,,,,,,
4,第一批：优先核验,sh688041-02,sh688041,海光信息,公告正文核验,上交所公告入口,官方入口,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=688041,待人工核验,,,,,,,,
5,第一批：优先核验,sz002281-03,sz002281,光迅科技,财务报告核验,巨潮资讯定期报告入口,官方/交易所指定信息披露入口,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=002281,待人工核验,,,,,,,,
6,第一批：优先核验,sz002281-02,sz002281,光迅科技,公告正文核验,深交所公告入口,官方入口,https://www.szse.cn/disclosure/listed/fixed/index.html,待人工核验,,,,,,,,
7,第一批：优先核验,sh603986-01,sh603986,兆易创新,公告正文核验,巨潮资讯股票公告入口,官方/交易所指定信息披露入口,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=603986,待人工核验,,,,,,,,
8,第一批：优先核验,sz000657-01,sz000657,中钨高新,公告正文核验,巨潮资讯股票公告入口,官方/交易所指定信息披露入口,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000657,待人工核验,,,,,,,,
9,第一批：优先核验,sh603986-03,sh603986,兆易创新,财务报告核验,巨潮资讯定期报告入口,官方/交易所指定信息披露入口,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=603986,待人工核验,,,,,,,,
10,第一批：优先核验,sh603986-02,sh603986,兆易创新,公告正文核验,上交所公告入口,官方入口,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603986,待人工核验,,,,,,,,
