股票代码,市场编号,原始代码,通达信行业代码,通达信行业名称,通达信行业指数代码,细分行业代码,细分行业名称,细分行业指数代码,来源行号
sz000001,0,000001,T1001,银行,880471,X500102,股份制银行,881388,1
sz000002,0,000002,T110201,全国地产,880483,X530101,住宅开发,881419,2
sz000004,0,000004,T1205,软件服务,880493,X420201,基础软件,881356,3
sz000006,0,000006,T110202,区域地产,880484,X530101,住宅开发,881419,4
sz000007,0,000007,T050105,其他商业,880411,X2503,商业物业经营,881204,5
sz000008,0,000008,T0703,运输设备,880432,X3201,轨交设备,881293,6
sz000009,0,000009,T0706,电气设备,880446,X300202,电池化学品,881264,7
sz000010,0,000010,T110101,建筑工程,880477,X520202,园林工程,881409,8
sz000011,0,000011,T110204,房产服务,880486,X530201,物业管理,881423,9
sz000012,0,000012,T020603,玻璃,880347,X150201,玻璃制造,881095,10
sz000014,0,000014,T110201,全国地产,880483,X530101,住宅开发,881419,11
sz000016,0,000016,T0401,家用电器,880387,X240201,电视,881188,12
sz000017,0,000017,T030302,服饰,880369,X220301,钟表珠宝,881163,13
sz000019,0,000019,T030206,农业综合,880366,X200601,粮油加工,881124,14
sz000020,0,000020,T1204,元器件,880492,X400301,面板,881330,15
sz000021,0,000021,T1204,元器件,880492,X400201,消费电子组件,881327,16
sz000025,0,000025,T1301,综合类,880497,X9901,综合类,881478,17
sz000026,0,000026,T030302,服饰,880369,X220301,钟表珠宝,881163,18
sz000027,0,000027,T010202,火力发电,880307,X620102,火力发电,881461,19
sz000028,0,000028,T050104,医药商业,880410,X270501,医药流通,881253,20
sz000029,0,000029,T110202,区域地产,880484,X530101,住宅开发,881419,21
sz000030,0,000030,T040202,汽车配件,880392,X260302,底盘与发动机系统,881220,22
sz000031,0,000031,T110201,全国地产,880483,X530102,商业地产,881420,23
sz000032,0,000032,T110101,建筑工程,880477,X520304,其他专业工程,881414,24
sz000034,0,000034,T1205,软件服务,880493,X420304,其他云服务,881363,25
sz000035,0,000035,T0805,环境保护,880456,X630203,固废治理,881474,26
sz000036,0,000036,T110201,全国地产,880483,X530101,住宅开发,881419,27
sz000037,0,000037,T010202,火力发电,880307,X620102,火力发电,881461,28
sz000039,0,000039,T0703,运输设备,880432,X320204,金属制品,881298,29
sz000042,0,000042,T110201,全国地产,880483,X530101,住宅开发,881419,30
sz000045,0,000045,T1204,元器件,880492,X400302,光学元件,881331,31
sz000048,0,000048,T030206,农业综合,880366,X200201,生猪养殖,881112,32
sz000049,0,000049,T0706,电气设备,880446,X300201,锂电池,881263,33
sz000050,0,000050,T1204,元器件,880492,X400301,面板,881330,34
sz000055,0,000055,T020604,其他建材,880348,X150306,其他建材,881103,35
sz000056,0,000056,T050105,其他商业,880411,X2503,商业物业经营,881204,36
sz000058,0,000058,T050106,商品城,880412,X2503,商业物业经营,881204,37
sz000059,0,000059,T010302,石油加工,880312,X110301,炼油化工,881012,38
sz000060,0,000060,T020203,铅锌,880327,X140103,铅锌,881074,39
sz000061,0,000061,T030206,农业综合,880366,X2503,商业物业经营,881204,40
sz000062,0,000062,T1204,元器件,880492,X4005,其他电子,881336,41
sz000063,0,000063,T1202,通信设备,880490,X410103,系统设备,881341,42
sz000065,0,000065,T110101,建筑工程,880477,X520303,国际工程,881413,43
sz000066,0,000066,T1201,IT设备,880489,X420102,其他IT设备,881354,44
sz000068,0,000068,T0805,环境保护,880456,X630202,水治理,881473,45
sz000069,0,000069,T110201,全国地产,880483,X530101,住宅开发,881419,46
sz000070,0,000070,T1202,通信设备,880490,X410101,光纤光缆,881339,47
sz000078,0,000078,T050104,医药商业,880410,X270501,医药流通,881253,48
sz000088,0,000088,T090303,港口,880468,X610301,港口,881450,49
sz000089,0,000089,T090302,机场,880467,X610202,机场,881448,50
sz000090,0,000090,T110101,建筑工程,880477,X520201,基建工程,881408,51
sz000096,0,000096,T010303,石油贸易,880313,X110302,石油贸易,881013,52
sz000099,0,000099,T090103,空运,880462,X610201,航空运输,881447,53
sz000100,0,000100,T1204,元器件,880492,X400301,面板,881330,54
sz000151,0,000151,T0502,商贸代理,880414,X2505,贸易,881206,55
sz000153,0,000153,T040501,化学制药,880401,X270101,化学制剂,881232,56
sz000155,0,000155,T010203,新型电力,880308,X620104,风力发电,881463,57
sz000156,0,000156,T060102,影视音像,880420,X4307,广播电视,881384,58
sz000157,0,000157,T0707,工程机械,880447,X320401,工程机械整机,881311,59
sz000158,0,000158,T1205,软件服务,880493,X420202,行业应用软件,881357,60
sz000159,0,000159,T010303,石油贸易,880313,X110302,石油贸易,881013,61
sz000166,0,000166,T1002,证券,880472,X5101,证券,881394,62
sz000301,0,000301,T0203,化纤,880330,X120201,涤纶,881020,63
sz000333,0,000333,T0401,家用电器,880387,X240101,空调,881185,64
sz000338,0,000338,T040202,汽车配件,880392,X260302,底盘与发动机系统,881220,65
sz000400,0,000400,T0706,电气设备,880446,X300302,电网自动化,881270,66
sz000401,0,000401,T020602,水泥,880346,X150101,水泥制造,881092,67
sz000402,0,000402,T110201,全国地产,880483,X530102,商业地产,881420,68
sz000403,0,000403,T040502,生物制药,880402,X270201,血液制品,881235,69
sz000404,0,000404,T0401,家用电器,880387,X2406,家电零部件,881198,70
sz000407,0,000407,T0804,供气供热,880455,X6202,燃气,881467,71
sz000408,0,000408,T020402,农药化肥,880337,X120704,钾肥,881059,72
sz000409,0,000409,T1205,软件服务,880493,X420202,行业应用软件,881357,73
sz000410,0,000410,T070401,机床制造,880438,X320202,机床制造,881296,74
sz000411,0,000411,T050104,医药商业,880410,X270501,医药流通,881253,75
sz000415,0,000415,T1004,多元金融,880474,X510305,租赁,881401,76
sz000417,0,000417,T050101,百货,880407,X250102,百货,881202,77
sz000419,0,000419,T050101,百货,880407,X250103,多业态零售,881203,78
sz000420,0,000420,T0203,化纤,880330,X120203,粘胶纤维,881022,79
sz000421,0,000421,T0804,供气供热,880455,X6202,燃气,881467,80
sz000422,0,000422,T020402,农药化肥,880337,X120703,磷肥及磷化工,881058,81
sz000423,0,000423,T040503,中成药,880403,X2706,中药,881256,82
sz000425,0,000425,T0707,工程机械,880447,X320401,工程机械整机,881311,83
sz000426,0,000426,T020203,铅锌,880327,X140103,铅锌,881074,84
sz000428,0,000428,T0604,酒店餐饮,880423,X600301,酒店,881430,85
sz000429,0,000429,T090301,路桥,880466,X610102,高速公路,881444,86
sz000430,0,000430,T060502,旅游景点,880426,X600501,旅游景区,881433,87
sz000488,0,000488,T0207,造纸,880350,X230101,大宗用纸,881168,88
sz000498,0,000498,T110101,建筑工程,880477,X520201,基建工程,881408,89
sz000501,0,000501,T050101,百货,880407,X250102,百货,881202,90
sz000503,0,000503,T1205,软件服务,880493,X420202,行业应用软件,881357,91
sz000504,0,000504,T0403,医疗保健,880398,X270404,其他医疗服务,881251,92
sz000505,0,000505,T030403,食品,880375,X200601,粮油加工,881124,93
sz000506,0,000506,T020204,黄金,880328,X140201,黄金,881076,94
sz000507,0,000507,T010203,新型电力,880308,X620104,风力发电,881463,95
sz000509,0,000509,T1204,元器件,880492,X400301,面板,881330,96
sz000510,0,000510,T020401,化工原料,880336,X120303,氯碱,881029,97
sz000513,0,000513,T040501,化学制药,880401,X270101,化学制剂,881232,98
sz000514,0,000514,T110202,区域地产,880484,X530101,住宅开发,881419,99
sz000516,0,000516,T0403,医疗保健,880398,X270403,医院,881250,100
sz000517,0,000517,T110202,区域地产,880484,X530101,住宅开发,881419,101
sz000518,0,000518,T040502,生物制药,880402,X270205,基因药物,881239,102
sz000519,0,000519,T070506,专用机械,880445,X3101,地面兵装,881287,103
sz000520,0,000520,T090102,水运,880461,X610302,航运,881451,104
sz000521,0,000521,T0401,家用电器,880387,X240102,冰洗,881186,105
sz000523,0,000523,T030403,食品,880375,X210602,制糖业,881146,106
sz000524,0,000524,T060501,旅游服务,880425,X600502,旅游服务,881434,107
sz000525,0,000525,T020402,农药化肥,880337,X120701,农药,881056,108
sz000526,0,000526,T0603,文教休闲,880422,X6002,教育培训,881428,109
sz000528,0,000528,T0707,工程机械,880447,X320401,工程机械整机,881311,110
sz000529,0,000529,T030403,食品,880375,X210601,肉制品,881145,111
sz000530,0,000530,T070402,机械基件,880439,X320206,制冷空调设备,881300,112
sz000531,0,000531,T010202,火力发电,880307,X620102,火力发电,881461,113
sz000532,0,000532,T1004,多元金融,880474,X510303,投资管理,881399,114
sz000533,0,000533,T0706,电气设备,880446,X300303,输变电设备,881271,115
sz000534,0,000534,T040502,生物制药,880402,X270206,其他生物制药,881240,116
sz000536,0,000536,T1204,元器件,880492,X400301,面板,881330,117
sz000537,0,000537,T010203,新型电力,880308,X620104,风力发电,881463,118
sz000538,0,000538,T040503,中成药,880403,X2706,中药,881256,119
sz000539,0,000539,T010202,火力发电,880307,X620102,火力发电,881461,120
sz000541,0,000541,T0401,家用电器,880387,X400303,LED,881332,121
