股票代码,板块类别,类别代码,板块名称,板块代码,来源文件,行业名称,细分行业名称
sh600018,概念板块,GN,通达信88,880515,infoharbor_block.dat,港口,港口
sh600030,概念板块,GN,通达信88,880515,infoharbor_block.dat,证券,证券
sh600036,概念板块,GN,通达信88,880515,infoharbor_block.dat,银行,股份制银行
sh600039,概念板块,GN,通达信88,880515,infoharbor_block.dat,建筑工程,基建工程
sh600221,概念板块,GN,通达信88,880515,infoharbor_block.dat,空运,航空运输
sh600276,概念板块,GN,通达信88,880515,infoharbor_block.dat,化学制药,化学制剂
sh600323,概念板块,GN,通达信88,880515,infoharbor_block.dat,环境保护,固废治理
sh600346,概念板块,GN,通达信88,880515,infoharbor_block.dat,石油加工,炼油化工
sh600388,概念板块,GN,通达信88,880515,infoharbor_block.dat,环境保护,环保设备
sh600415,概念板块,GN,通达信88,880515,infoharbor_block.dat,商品城,商业物业经营
sh600461,概念板块,GN,通达信88,880515,infoharbor_block.dat,水务,水务
sh600519,概念板块,GN,通达信88,880515,infoharbor_block.dat,白酒,白酒
sh600585,概念板块,GN,通达信88,880515,infoharbor_block.dat,水泥,水泥制造
sh600673,概念板块,GN,通达信88,880515,infoharbor_block.dat,综合类,综合类
sh600754,概念板块,GN,通达信88,880515,infoharbor_block.dat,酒店餐饮,酒店
sh600760,概念板块,GN,通达信88,880515,infoharbor_block.dat,航空,航空装备
sh600803,概念板块,GN,通达信88,880515,infoharbor_block.dat,供气供热,燃气
sh600809,概念板块,GN,通达信88,880515,infoharbor_block.dat,白酒,白酒
sh600895,概念板块,GN,通达信88,880515,infoharbor_block.dat,园区开发,产业地产
sh600900,概念板块,GN,通达信88,880515,infoharbor_block.dat,水力发电,水力发电
sh600901,概念板块,GN,通达信88,880515,infoharbor_block.dat,多元金融,非货币银行
sh600916,概念板块,GN,通达信88,880515,infoharbor_block.dat,服饰,钟表珠宝
sh600968,概念板块,GN,通达信88,880515,infoharbor_block.dat,石油开采,油田服务
sh600989,概念板块,GN,通达信88,880515,infoharbor_block.dat,化工原料,煤化工
sh601061,概念板块,GN,通达信88,880515,infoharbor_block.dat,商贸代理,贸易
sh601127,概念板块,GN,通达信88,880515,infoharbor_block.dat,汽车整车,综合乘用车
sh601155,概念板块,GN,通达信88,880515,infoharbor_block.dat,区域地产,住宅开发
sh601225,概念板块,GN,通达信88,880515,infoharbor_block.dat,煤炭开采,动力煤
sh601288,概念板块,GN,通达信88,880515,infoharbor_block.dat,银行,国有大型银行
sh601336,概念板块,GN,通达信88,880515,infoharbor_block.dat,保险,保险
sh601360,概念板块,GN,通达信88,880515,infoharbor_block.dat,互联网,基础软件
sh601668,概念板块,GN,通达信88,880515,infoharbor_block.dat,建筑工程,房屋建设
sh601689,概念板块,GN,通达信88,880515,infoharbor_block.dat,汽车配件,车身附件及饰件
sh601728,概念板块,GN,通达信88,880515,infoharbor_block.dat,电信运营,电信运营服务
